year,state,district,grade,subject,level,percentage,n_students
2018,Mizoram,Mizoram,3,reading,story,25.2,
2018,Mizoram,Mizoram,5,math,division,35.8,
2018,Mizoram,Mizoram,5,reading,story,58.6,
2018,Nagaland,Nagaland,3,math,subtraction,26.3,
2018,Nagaland,Nagaland,3,reading,story,7.4,
2018,Nagaland,Nagaland,5,math,division,19.3,
2018,Nagaland,Nagaland,5,reading,story,31.7,
2018,Odisha,Odisha,3,math,subtraction,28.1,
2018,Odisha,Odisha,3,reading,story,34.9,
2018,Odisha,Odisha,5,math,division,23.8,
2018,Odisha,Odisha,5,reading,story,56.2,
2018,Punjab,Punjab,3,math,subtraction,40.5,
2018,Punjab,Punjab,3,reading,story,36.4,
2018,Punjab,Punjab,5,math,division,50.1,
2018,Punjab,Punjab,5,reading,story,68.7,
2018,Rajasthan,Rajasthan,3,math,subtraction,8.1,
2018,Rajasthan,Rajasthan,3,reading,story,10.3,
2018,Rajasthan,Rajasthan,5,math,division,14.1,
2018,Rajasthan,Rajasthan,5,reading,story,39.1,
2018,Sikkim,Sikkim,3,math,subtraction,34.7,
2018,Sikkim,Sikkim,3,reading,story,13.5,
2018,Sikkim,Sikkim,5,math,division,10.9,
2018,Sikkim,Sikkim,5,reading,story,34.9,
2018,Tamil Nadu,Tamil Nadu,3,math,subtraction,23.6,
2018,Tamil Nadu,Tamil Nadu,3,reading,story,11.6,
2018,Tamil Nadu,Tamil Nadu,5,math,division,27.1,
2018,Tamil Nadu,Tamil Nadu,5,reading,story,46.3,
2018,Telangana,Telangana,3,math,subtraction,30.6,
2018,Telangana,Telangana,3,reading,story,12.6,
2018,Telangana,Telangana,5,math,division,26.7,
2018,Telangana,Telangana,5,reading,story,41.3,
2018,Tripura,Tripura,3,math,subtraction,33.1,
2018,Tripura,Tripura,3,reading,story,25.3,
2018,Tripura,Tripura,5,math,division,16.6,
2018,Tripura,Tripura,5,reading,story,45.9,
2018,Uttar Pradesh,Uttar Pradesh,3,math,subtraction,11.2,
2018,Uttar Pradesh,Uttar Pradesh,3,reading,story,12.3,
2018,Uttar Pradesh,Uttar Pradesh,5,math,division,17.0,
2018,Uttar Pradesh,Uttar Pradesh,5,reading,story,36.2,
2018,Uttarakhand,Uttarakhand,3,math,subtraction,18.5,
2018,Uttarakhand,Uttarakhand,3,reading,story,24.7,
2018,Uttarakhand,Uttarakhand,5,math,division,26.7,
2018,Uttarakhand,Uttarakhand,5,reading,story,58.0,
2018,West Bengal,West Bengal,3,math,subtraction,35.5,
2018,West Bengal,West Bengal,3,reading,story,36.6,
2018,West Bengal,West Bengal,5,math,division,29.2,
2018,West Bengal,West Bengal,5,reading,story,50.5,
2022,Andhra Pradesh,Andhra Pradesh,3,math,subtraction,29.2,
2022,Andhra Pradesh,Andhra Pradesh,5,math,division,27.3,
2022,Andhra Pradesh,Andhra Pradesh,5,reading,story,37.9,
2022,Arunachal Pradesh,Arunachal Pradesh,3,math,subtraction,29.4,
2022,Arunachal Pradesh,Arunachal Pradesh,5,math,division,19.5,
2022,Arunachal Pradesh,Arunachal Pradesh,5,reading,story,30.5,
2022,Assam,Assam,3,math,subtraction,15.8,
2022,Assam,Assam,3,reading,story,10.1,
2022,Assam,Assam,5,math,division,10.1,
2022,Assam,Assam,5,reading,story,29.2,
2022,Bihar,Bihar,3,math,subtraction,21.2,
2022,Bihar,Bihar,3,reading,story,12.9,
2022,Bihar,Bihar,5,math,division,30.0,
2022,Bihar,Bihar,5,reading,story,37.1,
2022,Chhattisgarh,Chhattisgarh,3,math,subtraction,16.0,
2022,Chhattisgarh,Chhattisgarh,3,reading,story,20.7,
2022,Chhattisgarh,Chhattisgarh,5,math,division,22.8,
2022,Chhattisgarh,Chhattisgarh,5,reading,story,52.7,
2022,Gujarat,Gujarat,3,math,subtraction,22.9,
2022,Gujarat,Gujarat,3,reading,story,23.2,
2022,Gujarat,Gujarat,5,math,division,14.5,
2022,Gujarat,Gujarat,5,reading,story,33.9,
2022,Haryana,Haryana,3,math,subtraction,26.1,
2022,Haryana,Haryana,3,reading,story,21.2,
2022,Haryana,Haryana,5,math,division,27.6,
2022,Haryana,Haryana,5,reading,story,46.8,
2022,Himachal Pradesh,Himachal Pradesh,3,math,subtraction,31.3,
2022,Himachal Pradesh,Himachal Pradesh,3,reading,story,23.0,
2022,Himachal Pradesh,Himachal Pradesh,5,math,division,38.1,
2022,Himachal Pradesh,Himachal Pradesh,5,reading,story,60.2,
2022,Jammu and Kashmir,Jammu and Kashmir,3,math,subtraction,26.1,
2022,Jammu and Kashmir,Jammu and Kashmir,3,reading,story,4.3,
2022,Jammu and Kashmir,Jammu and Kashmir,5,math,division,14.0,
2022,Jammu and Kashmir,Jammu and Kashmir,5,reading,story,18.1,
2022,Jharkhand,Jharkhand,3,math,subtraction,16.3,
2022,Jharkhand,Jharkhand,3,reading,story,9.5,
2022,Jharkhand,Jharkhand,5,math,division,20.8,
2022,Jharkhand,Jharkhand,5,reading,story,31.6,
2022,Karnataka,Karnataka,3,math,subtraction,19.6,
2022,Karnataka,Karnataka,3,reading,story,7.7,
2022,Karnataka,Karnataka,5,math,division,12.0,
2022,Karnataka,Karnataka,5,reading,story,29.2,
2022,Kerala,Kerala,3,math,subtraction,32.7,
2022,Kerala,Kerala,3,reading,story,31.6,
2022,Kerala,Kerala,5,math,division,20.2,
2022,Kerala,Kerala,5,reading,story,61.9,
2022,Madhya Pradesh,Madhya Pradesh,3,math,subtraction,9.5,
2022,Madhya Pradesh,Madhya Pradesh,3,reading,story,7.9,
2022,Madhya Pradesh,Madhya Pradesh,5,math,division,15.7,
2022,Madhya Pradesh,Madhya Pradesh,5,reading,story,29.2,
2022,Maharashtra,Maharashtra,3,math,subtraction,18.5,
2022,Maharashtra,Maharashtra,3,reading,story,26.1,
2022,Maharashtra,Maharashtra,5,math,division,20.1,
2022,Maharashtra,Maharashtra,5,reading,story,55.7,
2022,Manipur,Manipur,3,math,subtraction,56.2,
2022,Manipur,Manipur,3,reading,story,23.3,
2022,Manipur,Manipur,5,math,division,45.2,
2022,Manipur,Manipur,5,reading,story,64.4,
2022,Meghalaya,Meghalaya,3,math,subtraction,15.3,
2022,Meghalaya,Meghalaya,3,reading,story,10.7,
2022,Meghalaya,Meghalaya,5,math,division,10.1,
2022,Meghalaya,Meghalaya,5,reading,story,29.1,
2022,Mizoram,Mizoram,3,math,subtraction,35.3,
2022,Mizoram,Mizoram,3,reading,story,13.2,
2022,Mizoram,Mizoram,5,math,division,14.8,
2022,Mizoram,Mizoram,5,reading,story,46.4,
2022,Nagaland,Nagaland,3,math,subtraction,27.7,
2022,Nagaland,Nagaland,3,reading,story,9.1,
2022,Nagaland,Nagaland,5,math,division,8.9,
2022,Nagaland,Nagaland,5,reading,story,28.9,
2022,Odisha,Odisha,3,math,subtraction,26.8,
2022,Odisha,Odisha,3,reading,story,26.7,
2022,Odisha,Odisha,5,math,division,26.1,
2022,Odisha,Odisha,5,reading,story,50.4,
2022,Punjab,Punjab,3,math,subtraction,31.1,
2022,Punjab,Punjab,3,reading,story,26.3,
2022,Punjab,Punjab,5,math,division,33.3,
2022,Punjab,Punjab,5,reading,story,59.4,
2022,Rajasthan,Rajasthan,3,math,subtraction,4.9,
2022,Rajasthan,Rajasthan,3,reading,story,7.7,
2022,Rajasthan,Rajasthan,5,math,division,6.3,
2022,Rajasthan,Rajasthan,5,reading,story,31.5,
2022,Sikkim,Sikkim,3,math,subtraction,36.1,
2022,Sikkim,Sikkim,3,reading,story,14.7,
2022,Sikkim,Sikkim,5,math,division,12.7,
2022,Sikkim,Sikkim,5,reading,story,26.0,
2022,Tamil Nadu,Tamil Nadu,3,math,subtraction,9.3,
2022,Tamil Nadu,Tamil Nadu,3,reading,story,4.7,
2022,Tamil Nadu,Tamil Nadu,5,math,division,14.7,
2022,Tamil Nadu,Tamil Nadu,5,reading,story,26.0,
2022,Telangana,Telangana,3,math,subtraction,27.2,
2022,Telangana,Telangana,3,reading,story,6.3,
2022,Telangana,Telangana,5,math,division,21.5,
2022,Telangana,Telangana,5,reading,story,31.6,
2022,Tripura,Tripura,3,math,subtraction,29.0,
2022,Tripura,Tripura,3,reading,story,15.3,
2022,Tripura,Tripura,5,math,division,13.4,
2022,Tripura,Tripura,5,reading,story,42.7,
2022,Uttar Pradesh,Uttar Pradesh,3,math,subtraction,19.7,
2022,Uttar Pradesh,Uttar Pradesh,3,reading,story,16.4,
2022,Uttar Pradesh,Uttar Pradesh,5,math,division,24.5,
2022,Uttar Pradesh,Uttar Pradesh,5,reading,story,38.3,
2022,Uttarakhand,Uttarakhand,3,math,subtraction,14.4,
2022,Uttarakhand,Uttarakhand,3,reading,story,22.1,
2022,Uttarakhand,Uttarakhand,5,math,division,23.3,
2022,Uttarakhand,Uttarakhand,5,reading,story,47.7,
2022,West Bengal,West Bengal,3,math,subtraction,32.4,
2022,West Bengal,West Bengal,3,reading,story,32.6,
2022,West Bengal,West Bengal,5,math,division,26.9,
2022,West Bengal,West Bengal,5,reading,story,47.1,
